Wavelength (micron)  Noise (photon/spectral_pixel)
       1.0587965       864.41747
       1.0589051       886.58881
       1.0590137       810.66835
       1.0591223       674.46970
       1.0592309       544.12115
       1.0593395       464.87531
       1.0594481       433.69954
       1.0595567       427.53333
       1.0596653       431.63077
       1.0597739       438.40563
       1.0598825       445.32619
       1.0599911       453.48665
       1.0600997       463.12206
       1.0602083       471.10372
       1.0603169       471.77106
       1.0604255       461.88751
       1.0605341       446.43113
       1.0606427       435.50588
       1.0607513       431.76730
       1.0608599       428.42654
       1.0609685       423.58944
       1.0610771       423.89383
       1.0611857       431.70215
       1.0612943       442.06751
       1.0614029       451.29676
       1.0615115       458.97501
       1.0616201       467.69491
       1.0617287       481.37677
       1.0618373       496.90659
       1.0619459       503.61418
       1.0620545       494.23191
       1.0621631       472.85708
       1.0622717       452.60978
       1.0623803       444.35332
       1.0624889       448.01464
       1.0625975       456.58210
       1.0627061       464.87950
       1.0628147       471.40934
       1.0629233       474.63141
       1.0630319       472.32971
       1.0631405       464.12827
       1.0632491       452.12968
       1.0633577       441.49457
       1.0634663       439.55964
       1.0635749       446.92358
       1.0636835       453.01719
       1.0637921       448.16525
       1.0639007       437.46497
       1.0640093       442.14492
       1.0641179       478.67227
       1.0642265       531.86545
       1.0643351       568.03770
       1.0644437       568.58181
       1.0645523       542.53653
       1.0646609       511.56217
       1.0647695       485.66054
       1.0648781       464.19501
       1.0649867       454.50433
       1.0650953       471.01422
       1.0652039       518.98581
       1.0653125       584.23959
       1.0654211       636.39775
       1.0655297       646.65682
       1.0656383       606.39379
       1.0657469       534.16173
       1.0658555       466.96328
       1.0659641       433.54158
       1.0660727       434.39237
       1.0661813       453.79459
       1.0662899       469.49307
       1.0663985       462.96918
       1.0665071       441.32989
       1.0666157       430.06543
       1.0667243       438.91196
       1.0668329       454.67143
       1.0669415       464.30810
       1.0670501       467.17798
       1.0671587       467.26339
       1.0672673       463.93434
       1.0673759       454.36933
       1.0674845       439.56231
       1.0675931       423.52919
       1.0677017       410.38132
       1.0678103       401.77148
       1.0679189       396.53964
       1.0680275       395.63355
       1.0681361       405.17922
       1.0682447       431.69314
       1.0683533       477.63687
       1.0684619       540.89886
       1.0685706       611.05673
       1.0686791       671.39004
       1.0687878       713.21134
       1.0688963       740.28359
       1.0690050       755.99334
       1.0691135       754.15894
       1.0692222       732.10788
       1.0693307       698.77953
       1.0694394       662.47543
       1.0695479       629.44509
       1.0696566       630.85146
       1.0697651       706.72588
       1.0698738       824.26251
       1.0699823       899.82789
       1.0700910       887.04088
       1.0701995       806.04747
       1.0703082       727.15129
       1.0704167       711.71559
       1.0705254       740.79721
       1.0706339       748.28168
       1.0707426       699.23743
       1.0708511       621.92540
       1.0709598       617.90725
       1.0710683       779.77854
       1.0711770       1036.7433
       1.0712855       1242.2124
       1.0713942       1294.8466
       1.0715027       1178.5267
       1.0716114       967.63769
       1.0717199       781.47418
       1.0718286       683.42137
       1.0719371       656.95855
       1.0720458       700.17612
       1.0721543       809.54479
       1.0722630       913.16548
       1.0723715       932.53511
       1.0724802       852.27588
       1.0725887       728.80898
       1.0726974       672.89302
       1.0728059       807.51124
       1.0729146       1128.0097
       1.0730231       1480.6209
       1.0731318       1690.9299
       1.0732404       1652.7786
       1.0733490       1380.4560
       1.0734576       994.45272
       1.0735662       659.47456
       1.0736748       497.03955
       1.0737834       484.64035
       1.0738920       509.38730
       1.0740006       513.42932
       1.0741092       503.77495
       1.0742178       547.46695
       1.0743264       708.31928
       1.0744350       931.84008
       1.0745436       1099.9992
       1.0746522       1127.7831
       1.0747608       1008.0092
       1.0748694       829.46825
       1.0749780       792.14874
       1.0750866       1050.5812
       1.0751952       1459.5682
       1.0753038       1790.9833
       1.0754124       1883.6254
       1.0755210       1692.0879
       1.0756296       1301.6374
       1.0757382       880.95719
       1.0758468       592.41199
       1.0759554       486.97828
       1.0760640       472.43241
       1.0761726       469.67067
       1.0762812       470.08169
       1.0763898       483.02283
       1.0764984       500.44113
       1.0766070       504.72161
